W_max,cruise_max_dz,cruise_rmse_z,decel_max_dz,decel_rmse_z,diverged,elapsed,est_pos_rmse,est_vel_rmse,fallback_count,omega_fail,omega_max,rmse_vx,rmse_z,t_gust,trial
5.165276355285291,0.5193825826880811,0.2561944484893,5.557927457735573,2.152195988708945,False,46.67805743217468,0.05065692873694254,0.028984415163110327,1,False,1.8961025949813195,16.828776568904043,4.4685331496417,38.13270239200273,0
10.43624991465423,0.660957966421698,0.24973096190899363,5.9799514077076665,2.319417452670776,False,118.79392290115356,0.05722169150114968,0.029223186928354877,1,False,16.37068140453578,13.363466184449695,2.748176134780534,39.350724237877685,1
5.335855753054643,0.5118087840287657,0.26384892344206334,5.548059440971919,2.1484715450096306,False,37.817896366119385,0.05826054234819118,0.02631924656168098,1,False,1.8993851645883069,16.82552433324318,4.428140553856526,37.29655446429944,2
7.997118905373847,1.2867151241747337,0.3659856721436021,4.6732909925931665,1.7814358152751846,False,120.57970762252808,0.06434775731468732,0.03034566072867146,1,False,16.69870629365532,12.264537001112895,2.486832466219471,34.226872211976584,3
11.471895115742502,1.4578263507359495,0.3970974209064526,4.180947300075147,1.5722291137751288,False,130.5567057132721,0.051995428431991404,0.02862175164093566,1,False,16.58019878679475,11.726406432685142,2.3950114049514863,36.15385111481254,4
11.855419844806947,0.6630584386230893,0.25466280673629216,5.998776252190638,2.32537302946839,False,109.22004866600037,0.053573726142445835,0.02868696674833676,1,False,16.181016860122448,13.405124353507695,2.752999950599623,36.504592762678165,5
12.214883401940817,1.4748117218559855,0.4000369648506752,4.450171471675546,1.688893295711866,False,126.42069840431213,0.050951944786818526,0.03355467651580994,1,False,16.55373038891088,12.008914135286915,2.4516866613040698,35.25354322475726,6
14.340435159562496,1.6511740020560879,0.45877788724040686,4.736914998054402,1.8122944262154006,False,126.31496834754944,0.05616681086977204,0.03300110500156488,1,False,16.761429354033407,12.419361233587834,2.5004954947766174,33.577951967090705,7
8.379112255071332,1.2900526475914589,0.35832201127811003,4.765847540906705,1.824510908244998,False,124.4239821434021,0.06613980518899862,0.027411923845612925,1,False,16.496989096581057,12.348154011654136,2.50505183552279,33.916190005281614,8
5.840153435823848,1.1019794589512273,0.2921341341688189,3.73534965896377,1.384686195212597,False,127.17988228797913,0.049954507818066936,0.029915950885957533,1,False,16.358945487061284,11.058768864867845,2.3069559374064657,38.32644147653398,9
