W_max,cruise_max_dz,cruise_rmse_z,decel_max_dz,decel_rmse_z,diverged,elapsed,est_pos_rmse,est_vel_rmse,omega_fail,omega_max,rmse_vx,rmse_z,t_gust,trial
5.165276355285291,10.070440360594098,3.556270720597721,6.93757405455392,2.6027922171857716,False,207.99703669548035,0.053869301324411326,0.035443835937414604,True,75.8961033136204,3.1455999408111586,2.6570156906758378,38.13270239200273,0
10.43624991465423,2.050125257772301,0.7111785502947093,6.82282032564305,2.183396871772194,False,185.63144993782043,0.057313610164933186,0.03370322005693106,True,62.51661883556126,1.71117508182719,1.9456031554385473,39.350724237877685,1
5.335855753054643,0.7459280437934197,0.1388439741266277,0.4215477589085239,0.1842821967464407,False,167.16260361671448,0.062353623194403664,0.030481784417169522,True,77.14583571343998,1.3201391984189303,1.607265126948838,37.29655446429944,2
7.997118905373847,0.8425291543905757,0.15978116953679486,0.5329971375312965,0.337534362641872,False,156.37020826339722,0.06450537055219158,0.03105482325611601,True,71.67081215395262,1.142258908415458,1.6181845564670414,34.226872211976584,3
11.471895115742502,23.828588246600177,9.930281659472703,15.730972332378762,3.342083376643948,False,199.875985622406,0.05141804184723488,0.03939234264846257,True,84.56705501572422,2.5428721587563072,5.2839327894539725,36.15385111481254,4
11.855419844806947,6.400531811394366,1.875937942622029,2.7219468924619648,0.9335664302241976,False,190.63703298568726,0.054527583203288224,0.03730093208114408,True,76.63782286005238,2.0700419768281124,1.8953047194505879,36.504592762678165,5
12.214883401940817,5.910600181174573,2.4371405263906785,inf,inf,False,240.45423483848572,0.052855937986708526,0.04818939474772854,True,85.21915024466469,6.389653978740958,16.03767870393075,35.25354322475726,6
14.340435159562496,2.667802540756469,0.6329205927906614,1.2481541735169301,0.36057309971031526,False,162.27862668037415,0.056667128510899216,0.03445923917512211,True,64.94204289817539,1.5041081487353214,1.6442085063634022,33.577951967090705,7
8.379112255071332,18.329473881188726,5.809452195395228,6.365404254204478,1.988939628867554,False,200.07195734977722,0.0656947755084679,0.037155129976420995,True,81.62359352916457,4.346826107214232,3.3608709220296205,33.916190005281614,8
5.840153435823848,1.1672968421532133,0.26467348231475324,0.5315098578385218,0.33978361496872617,False,156.19418811798096,0.04976255644228059,0.03032858489649343,True,77.28839886743263,1.2233964021876438,1.6230215182363157,38.32644147653398,9
