W_max,cruise_max_dz,cruise_rmse_z,decel_max_dz,decel_rmse_z,diverged,elapsed,est_pos_rmse,est_vel_rmse,omega_fail,omega_max,rmse_vx,rmse_z,t_gust,trial
5.165276355285291,0.5166233685729722,0.25321002490627836,5.55937792589274,2.1529879656287325,False,33.79412007331848,0.05077903972966881,0.02963021493187904,False,1.9045952800652282,16.82946194280021,4.452663599070618,38.13270239200273,0
10.43624991465423,0.5287674943377638,0.2621040877975799,5.390483885415861,2.0852007097261387,False,33.63853049278259,0.05274860688012374,0.028590316224447954,False,1.8632852836061657,16.745071201577716,4.4231631866877015,39.350724237877685,1
5.335855753054643,0.5104958178519325,0.2627113320986294,5.5482434147597814,2.1486136658057475,False,34.07474756240845,0.05820845799023558,0.02638660585740791,False,1.9017941267960097,16.825950190226347,4.468363949519572,37.29655446429944,2
7.997118905373847,0.5335051904794881,0.26521885284206703,5.494298865866092,2.1250615143279723,False,34.02794051170349,0.06061715605927435,0.029170484936685916,False,1.8759919615630625,16.801629018578147,4.4547868013743885,34.226872211976584,3
11.471895115742502,0.5351657378839718,0.2675262433585778,5.359566762837588,2.0725629404166086,False,34.12965965270996,0.047223959470711264,0.028191635782527234,False,1.8525537480920622,16.7472285936511,4.435940609834194,36.15385111481254,4
11.855419844806947,0.5170042962234476,0.2660422545176566,5.335857460341913,2.061717852776002,False,34.078391551971436,0.04896866842376085,0.02737652631249783,False,1.8391511930771423,16.73955963487763,4.427330591011275,36.504592762678165,5
12.214883401940817,0.525762720120305,0.27309701641542805,5.322002208287969,2.0574953549041153,False,34.05650854110718,0.04540482899161187,0.033559523605365384,False,1.8479571123344622,16.748292582622565,4.432249291040711,35.25354322475726,6
14.340435159562496,0.5313221673529043,0.2792422306495136,5.269453093544378,2.036210750944275,False,33.959566593170166,0.05156085011149539,0.030829206852337965,False,1.8244426040936483,16.747143973590113,4.41168796027655,33.577951967090705,7
8.379112255071332,0.5201719252000814,0.2644308369390478,5.4999883448514595,2.1310302776217434,False,33.463423013687134,0.0628108840802389,0.0272638296563383,False,1.8716868701789966,16.803693205722272,4.447805357923624,33.916190005281614,8
5.840153435823848,0.5283268851313352,0.264592474052919,5.537051103695511,2.1456426239468454,False,34.16362714767456,0.04434480087029432,0.029273321507976794,False,1.8840581076047433,16.82254003163612,4.444880060203963,38.32644147653398,9
