cond,cruise_max_dz,cruise_rmse_z,ctrl,decel_max_dz,decel_rmse_z,degrade_pct,delay,diverged,dropout,dropout_meas,elapsed,est_pos_rmse,est_vel_rmse,gps_rate,noise_pos,omega_fail,omega_max,rmse_vx,rmse_z
참값,0.5211536792519595,0.26199202968623236,lqr,5.426110021378811,2.099293126014725,0.0,0.0,False,0.0,0.0,,,,0.0,0.0,False,1.8642680674385153,16.779105690348057,4.4368366600830855
RTK 기준,0.4873161773866528,0.25892758624100587,lqr,5.416193007617636,2.0945195881455274,-0.17535445751431747,0.0,False,0.0,0.0,33.61271047592163,0.06035801159841383,0.0279957739852597,10.0,0.02,False,1.847698360156946,16.7784084745211,4.4290564692270005
지연 100ms,0.49488573597423624,0.2599031917606792,lqr,5.611486513228002,2.1703067765350625,5.895743454273632,0.1,False,0.0,0.0,34.149906158447266,3.948858809021131,0.5146728042507113,10.0,0.02,False,2.3662955369966863,16.781047950644314,4.698421167046747
결측 20%,0.5225347416368749,0.2590502565709902,lqr,5.4183211224944685,2.0937336690196346,-0.08629971114398792,0.0,False,0.2,0.2,33.95178771018982,0.0610221852941588,0.03311191002135762,10.0,0.02,False,1.8564735312736103,16.777107965205065,4.433007682861503
일반GPS 1.5m,0.6958246092905327,0.22659922857000997,lqr,5.023767589040837,1.9203512920948107,2.3329253041910203,0.0,False,0.0,0.0,33.696181297302246,0.4464106447517904,0.1987110758331203,10.0,1.5,False,1.9831953188512725,16.795359879570725,4.5403447452317875
참값,0.14566760625584863,0.03438002715881372,hybrid,2.5206226466486896,0.5973402177442176,0.0,0.0,False,0.0,0.0,,,,0.0,0.0,True,62.07607532951693,1.344853688688927,1.6326227925730294
RTK 기준,0.4398040867609865,0.11620796291685492,hybrid,3.931485876334037,1.3139479643852785,5.79454235808507,0.0,False,0.0,0.0,176.1623773574829,0.06445520968822081,0.03602810272272053,10.0,0.02,True,71.68333885924454,1.5594927845472013,1.727225811836425
지연 100ms,17.41121775048144,5.967735927292863,hybrid,18.513384535950678,4.926501289410837,143.18655138257978,0.1,False,0.0,0.0,202.0558488368988,4.398186749256674,0.7217810210217663,10.0,0.02,True,102.06450205948629,2.8304190818491994,3.9703190663443193
결측 20%,17.072838499066144,6.388984241126368,hybrid,3.590386738562124,0.733798815971007,113.27234504704712,0.0,False,0.2,0.2,182.8968641757965,0.06371666051700406,0.040793547845846934,10.0,0.02,True,79.88741823598328,2.926930622948068,3.481932915493088
일반GPS 1.5m,2.3707474646322595,0.7415865486654903,hybrid,0.668139337712816,0.23057103657674624,7.115348103565731,0.0,False,0.0,0.0,166.39429330825806,0.4547056600479709,0.21643842517510234,10.0,1.5,True,58.23941825190385,1.453166643498483,1.7487895874827564
